,S.No,BrandName,Product ID,Product Name,Brand Desc,Product Size,Currency,MRP,SellPrice,Discount,Category,delta
3944,3945,catwalk,CATWALK181,CATWALK181 - Footwear-Women,womens metallic two-strap sandals - gold,"Size:4,5,6,7,8",Rs.,2395.0,1916,20% off,Footwear-Women,479.0
3945,3946,catwalk,CATWALK182,CATWALK182 - Footwear-Women,leather slip on womens formal flats - tan,"Size:4,5,6,7,8,9",Rs.,2495.0,1996,20% off,Footwear-Women,499.0
3946,3947,catwalk,CATWALK183,CATWALK183 - Footwear-Women,polyurethane slipon womens casual loafers - brown,"Size:5,6,7",Rs.,2895.0,1447,50% off,Footwear-Women,1448.0
3947,3948,catwalk,CATWALK184,CATWALK184 - Footwear-Women,raffia slipon womens casual wear ballerinas - natural,"Size:4,5,6,7,8",Rs.,2595.0,2076,20% off,Footwear-Women,519.0
3948,3949,catwalk,CATWALK185,CATWALK185 - Footwear-Women,synthetic slipon womens casual wear ballerinas - pink,"Size:5,6,7",Rs.,2895.0,1447,50% off,Footwear-Women,1448.0
3949,3950,catwalk,CATWALK186,CATWALK186 - Footwear-Women,pu slipon womens casual wear flat sandals - yellow,Size:7,Rs.,2695.0,1347,50% off,Footwear-Women,1348.0
3950,3951,catwalk,CATWALK187,CATWALK187 - Footwear-Women,suede slip on womens casual wear sandals - gunmetal,"Size:4,5,6,7,8,9",Rs.,2795.0,2236,20% off,Footwear-Women,559.0
3951,3952,catwalk,CATWALK188,CATWALK188 - Footwear-Women,womens embroidered monks - multi,"Size:4,5,6,7,8,9",Rs.,2595.0,2076,20% off,Footwear-Women,519.0
3952,3953,catwalk,CATWALK189,CATWALK189 - Footwear-Women,womens embroidered toe loop thongs - multi,"Size:4,5,6,7,8,9",Rs.,2495.0,1996,20% off,Footwear-Women,499.0
3953,3954,catwalk,CATWALK190,CATWALK190 - Footwear-Women,synthetic slipon womens casual wear ballerinas - pink,"Size:5,6,7",Rs.,2695.0,1347,50% off,Footwear-Women,1348.0
3954,3955,catwalk,CATWALK191,CATWALK191 - Footwear-Women,printed fabric slipon womens casual mules - brown,"Size:4,5,6,7,8,9",Rs.,3995.0,3196,20% off,Footwear-Women,799.0
3955,3956,catwalk,CATWALK192,CATWALK192 - Footwear-Women,synthetic round toe womens party wear sandals - gold,"Size:5,6,7",Rs.,5495.0,4396,20% off,Footwear-Women,1099.0
3956,3957,catwalk,CATWALK193,CATWALK193 - Footwear-Women,fabric tie up womens casual wear sneakers - multi,"Size:4,5,6,7,8,9",Rs.,2895.0,2316,20% off,Footwear-Women,579.0
3957,3958,catwalk,CATWALK194,CATWALK194 - Footwear-Women,embellished fabric buckle womens casual clogs - yellow,"Size:4,5,6,7,8,9",Rs.,1995.0,1596,20% off,Footwear-Women,399.0
3958,3959,catwalk,CATWALK195,CATWALK195 - Footwear-Women,fabric buckle womens casual mules - silver grey,"Size:5,6,7",Rs.,2895.0,2316,20% off,Footwear-Women,579.0
3959,3960,catwalk,CATWALK196,CATWALK196 - Footwear-Women,embellished pu slipon womens casual flats - brown,"Size:4,5,6,7,8,9",Rs.,4295.0,3436,20% off,Footwear-Women,859.0
3960,3961,catwalk,CATWALK197,CATWALK197 - Footwear-Women,suede slip on womens occasion wear boots - black,"Size:4,5,6,7,8,9",Rs.,3695.0,2956,20% off,Footwear-Women,739.0
3961,3962,catwalk,CATWALK198,CATWALK198 - Footwear-Women,womens pure leather croc-effect thongs - tan,"Size:4,5,6,7,8,9",Rs.,1695.0,1356,20% off,Footwear-Women,339.0
3962,3963,catwalk,CATWALK199,CATWALK199 - Footwear-Women,womens pearl faux fur mules - black,Size:5,Rs.,2095.0,599,71% off,Footwear-Women,1496.0
3963,3964,catwalk,CATWALK200,CATWALK200 - Footwear-Women,fabric slip on womens casual mules - multi,"Size:5,6,7",Rs.,2595.0,1297,50% off,Footwear-Women,1298.0
3964,3965,catwalk,CATWALK201,CATWALK201 - Footwear-Women,womens diamond encrusted slip ons - gold,"Size:4,5,6,7,8",Rs.,2695.0,2156,20% off,Footwear-Women,539.0
3965,3966,catwalk,CATWALK202,CATWALK202 - Footwear-Women,fabric buckle womens casual sandals - black,"Size:5,6,7",Rs.,2495.0,1996,20% off,Footwear-Women,499.0
3966,3967,catwalk,CATWALK203,CATWALK203 - Footwear-Women,pu round toe womens party wear sandals - brown,"Size:5,6,7",Rs.,2895.0,2316,20% off,Footwear-Women,579.0
3967,3968,catwalk,CATWALK204,CATWALK204 - Footwear-Women,patent lace up womens formal mules - black,"Size:4,5,6,7,8,9",Rs.,3895.0,3116,20% off,Footwear-Women,779.0
3968,3969,catwalk,CATWALK205,CATWALK205 - Footwear-Women,fabric buckle womens casual sandals - black,"Size:5,6,7",Rs.,2495.0,1996,20% off,Footwear-Women,499.0
3969,3970,catwalk,CATWALK206,CATWALK206 - Footwear-Women,synthetic slipon womens casual wear ballerinas - green,"Size:5,6,7",Rs.,2695.0,1347,50% off,Footwear-Women,1348.0
3970,3971,catwalk,CATWALK207,CATWALK207 - Footwear-Women,fabric tie up womens athleisure sneakers - pink,"Size:5,6,7",Rs.,3095.0,2476,20% off,Footwear-Women,619.0
3971,3972,catwalk,CATWALK208,CATWALK208 - Footwear-Women,raffia slipon womens work wear ballerinas - natural,"Size:4,5,6,7,8,9",Rs.,2795.0,2236,20% off,Footwear-Women,559.0
3972,3973,catwalk,CATWALK209,CATWALK209 - Footwear-Women,synthetic slipon womens casual wear ballerinas - stone,"Size:4,5,6,7,8",Rs.,2795.0,2236,20% off,Footwear-Women,559.0
